time 2021-06-24 19:19:15.273361 	memory 634.0 	max_memory_used 634.0 	retained_memory_used 631.0 	retained_max_memory_used 631.0
time 2021-06-24 19:19:15.273769 	memory 638.0 	max_memory_used 638.0 	retained_memory_used 635.0 	retained_max_memory_used 635.0
time 2021-06-24 19:19:15.311759 	memory 650.0 	max_memory_used 650.0 	retained_memory_used 647.0 	retained_max_memory_used 647.0
time 2021-06-24 19:19:15.323530 	memory 1010.0 	max_memory_used 1010.0 	retained_memory_used 1007.0 	retained_max_memory_used 1007.0
time 2021-06-24 19:19:15.370750 	memory 1018.0 	max_memory_used 1018.0 	retained_memory_used 1015.0 	retained_max_memory_used 1015.0
time 2021-06-24 19:19:15.416514 	memory 1026.0 	max_memory_used 1026.0 	retained_memory_used 1023.0 	retained_max_memory_used 1023.0
time 2021-06-24 19:19:15.468508 	memory 1034.0 	max_memory_used 1034.0 	retained_memory_used 1031.0 	retained_max_memory_used 1031.0
time 2021-06-24 19:19:15.524564 	memory 1046.0 	max_memory_used 1046.0 	retained_memory_used 1043.0 	retained_max_memory_used 1043.0
time 2021-06-24 19:19:15.585759 	memory 1060.0 	max_memory_used 1060.0 	retained_memory_used 1057.0 	retained_max_memory_used 1057.0
time 2021-06-24 19:19:15.656479 	memory 1072.0 	max_memory_used 1072.0 	retained_memory_used 1069.0 	retained_max_memory_used 1069.0
time 2021-06-24 19:19:16.002025 	memory 1076.0 	max_memory_used 1076.0 	retained_memory_used 1073.0 	retained_max_memory_used 1073.0
time 2021-06-24 19:19:16.038728 	memory 1080.0 	max_memory_used 1080.0 	retained_memory_used 1077.0 	retained_max_memory_used 1077.0
time 2021-06-24 19:19:16.075182 	memory 1084.0 	max_memory_used 1084.0 	retained_memory_used 1081.0 	retained_max_memory_used 1081.0
time 2021-06-24 19:19:16.115297 	memory 1088.0 	max_memory_used 1088.0 	retained_memory_used 1085.0 	retained_max_memory_used 1085.0
time 2021-06-24 19:19:16.158081 	memory 1100.0 	max_memory_used 1100.0 	retained_memory_used 1097.0 	retained_max_memory_used 1097.0
time 2021-06-24 19:19:16.376831 	memory 1102.0 	max_memory_used 1102.0 	retained_memory_used 1099.0 	retained_max_memory_used 1099.0
time 2021-06-24 19:19:16.401482 	memory 1104.0 	max_memory_used 1104.0 	retained_memory_used 1101.0 	retained_max_memory_used 1101.0
time 2021-06-24 19:19:16.439425 	memory 1106.0 	max_memory_used 1106.0 	retained_memory_used 1103.0 	retained_max_memory_used 1103.0
time 2021-06-24 19:19:16.460761 	memory 1108.0 	max_memory_used 1108.0 	retained_memory_used 1105.0 	retained_max_memory_used 1105.0
time 2021-06-24 19:19:16.495901 	memory 1110.0 	max_memory_used 1110.0 	retained_memory_used 1107.0 	retained_max_memory_used 1107.0
time 2021-06-24 19:19:16.529661 	memory 1112.0 	max_memory_used 1112.0 	retained_memory_used 1109.0 	retained_max_memory_used 1109.0
time 2021-06-24 19:19:16.564641 	memory 1116.0 	max_memory_used 1116.0 	retained_memory_used 1113.0 	retained_max_memory_used 1113.0
time 2021-06-24 19:19:16.598088 	memory 1118.0 	max_memory_used 1118.0 	retained_memory_used 1115.0 	retained_max_memory_used 1115.0
time 2021-06-24 19:19:16.633824 	memory 1120.0 	max_memory_used 1120.0 	retained_memory_used 1117.0 	retained_max_memory_used 1117.0
time 2021-06-24 19:19:16.668424 	memory 1122.0 	max_memory_used 1122.0 	retained_memory_used 1119.0 	retained_max_memory_used 1119.0
time 2021-06-24 19:19:16.703215 	memory 1124.0 	max_memory_used 1124.0 	retained_memory_used 1121.0 	retained_max_memory_used 1121.0
time 2021-06-24 19:19:16.714839 	memory 1126.0 	max_memory_used 1126.0 	retained_memory_used 1123.0 	retained_max_memory_used 1123.0
