time 2021-06-24 15:54:27.154635 	memory 622.0 	max_memory_used 622.0 	retained_memory_used 619.0 	retained_max_memory_used 619.0
time 2021-06-24 15:54:27.187567 	memory 630.0 	max_memory_used 630.0 	retained_memory_used 627.0 	retained_max_memory_used 627.0
time 2021-06-24 15:54:27.195083 	memory 990.0 	max_memory_used 990.0 	retained_memory_used 987.0 	retained_max_memory_used 987.0
time 2021-06-24 15:54:27.235010 	memory 998.0 	max_memory_used 998.0 	retained_memory_used 995.0 	retained_max_memory_used 995.0
time 2021-06-24 15:54:27.276549 	memory 1006.0 	max_memory_used 1006.0 	retained_memory_used 1003.0 	retained_max_memory_used 1003.0
time 2021-06-24 15:54:27.318419 	memory 1014.0 	max_memory_used 1014.0 	retained_memory_used 1011.0 	retained_max_memory_used 1011.0
time 2021-06-24 15:54:27.363637 	memory 1026.0 	max_memory_used 1026.0 	retained_memory_used 1023.0 	retained_max_memory_used 1023.0
time 2021-06-24 15:54:27.416818 	memory 1038.0 	max_memory_used 1038.0 	retained_memory_used 1035.0 	retained_max_memory_used 1035.0
time 2021-06-24 15:54:27.471767 	memory 1050.0 	max_memory_used 1050.0 	retained_memory_used 1047.0 	retained_max_memory_used 1047.0
time 2021-06-24 15:54:27.734646 	memory 1054.0 	max_memory_used 1054.0 	retained_memory_used 1051.0 	retained_max_memory_used 1051.0
time 2021-06-24 15:54:27.770234 	memory 1058.0 	max_memory_used 1058.0 	retained_memory_used 1055.0 	retained_max_memory_used 1055.0
time 2021-06-24 15:54:27.805651 	memory 1062.0 	max_memory_used 1062.0 	retained_memory_used 1059.0 	retained_max_memory_used 1059.0
time 2021-06-24 15:54:27.838469 	memory 1066.0 	max_memory_used 1066.0 	retained_memory_used 1063.0 	retained_max_memory_used 1063.0
time 2021-06-24 15:54:27.881878 	memory 1074.0 	max_memory_used 1074.0 	retained_memory_used 1071.0 	retained_max_memory_used 1071.0
time 2021-06-24 15:54:28.136044 	memory 1076.0 	max_memory_used 1076.0 	retained_memory_used 1073.0 	retained_max_memory_used 1073.0
time 2021-06-24 15:54:28.165450 	memory 1078.0 	max_memory_used 1078.0 	retained_memory_used 1075.0 	retained_max_memory_used 1075.0
time 2021-06-24 15:54:28.198017 	memory 1082.0 	max_memory_used 1082.0 	retained_memory_used 1079.0 	retained_max_memory_used 1079.0
time 2021-06-24 15:54:28.226964 	memory 1084.0 	max_memory_used 1084.0 	retained_memory_used 1081.0 	retained_max_memory_used 1081.0
time 2021-06-24 15:54:28.257967 	memory 1086.0 	max_memory_used 1086.0 	retained_memory_used 1083.0 	retained_max_memory_used 1083.0
time 2021-06-24 15:54:28.287116 	memory 1088.0 	max_memory_used 1088.0 	retained_memory_used 1085.0 	retained_max_memory_used 1085.0
time 2021-06-24 15:54:28.321511 	memory 1090.0 	max_memory_used 1090.0 	retained_memory_used 1087.0 	retained_max_memory_used 1087.0
time 2021-06-24 15:54:28.355915 	memory 1092.0 	max_memory_used 1092.0 	retained_memory_used 1089.0 	retained_max_memory_used 1089.0
time 2021-06-24 15:54:28.391211 	memory 1094.0 	max_memory_used 1094.0 	retained_memory_used 1091.0 	retained_max_memory_used 1091.0
time 2021-06-24 15:54:28.422894 	memory 1096.0 	max_memory_used 1096.0 	retained_memory_used 1093.0 	retained_max_memory_used 1093.0
time 2021-06-24 15:54:28.457626 	memory 1098.0 	max_memory_used 1098.0 	retained_memory_used 1095.0 	retained_max_memory_used 1095.0
time 2021-06-24 15:54:28.491984 	memory 1102.0 	max_memory_used 1102.0 	retained_memory_used 1099.0 	retained_max_memory_used 1099.0
time 2021-06-24 15:54:28.525913 	memory 1106.0 	max_memory_used 1106.0 	retained_memory_used 1103.0 	retained_max_memory_used 1103.0
time 2021-06-24 15:54:28.559950 	memory 1112.0 	max_memory_used 1112.0 	retained_memory_used 1109.0 	retained_max_memory_used 1109.0
time 2021-06-24 15:54:28.588360 	memory 1114.0 	max_memory_used 1114.0 	retained_memory_used 1111.0 	retained_max_memory_used 1111.0
time 2021-06-24 15:54:28.616464 	memory 1118.0 	max_memory_used 1118.0 	retained_memory_used 1115.0 	retained_max_memory_used 1115.0
time 2021-06-24 15:54:28.720877 	memory 1120.0 	max_memory_used 1120.0 	retained_memory_used 1117.0 	retained_max_memory_used 1117.0
time 2021-06-24 15:54:28.750371 	memory 1122.0 	max_memory_used 1122.0 	retained_memory_used 1119.0 	retained_max_memory_used 1119.0
time 2021-06-24 15:54:28.804250 	memory 1124.0 	max_memory_used 1124.0 	retained_memory_used 1121.0 	retained_max_memory_used 1121.0
time 2021-06-24 15:54:28.832653 	memory 1126.0 	max_memory_used 1126.0 	retained_memory_used 1123.0 	retained_max_memory_used 1123.0
time 2021-06-24 15:54:28.861560 	memory 1128.0 	max_memory_used 1128.0 	retained_memory_used 1125.0 	retained_max_memory_used 1125.0
time 2021-06-24 15:54:28.885893 	memory 1130.0 	max_memory_used 1130.0 	retained_memory_used 1127.0 	retained_max_memory_used 1127.0
time 2021-06-24 15:54:28.914115 	memory 1132.0 	max_memory_used 1132.0 	retained_memory_used 1129.0 	retained_max_memory_used 1129.0
time 2021-06-24 15:54:28.940433 	memory 1134.0 	max_memory_used 1134.0 	retained_memory_used 1131.0 	retained_max_memory_used 1131.0
time 2021-06-24 15:54:28.964788 	memory 1136.0 	max_memory_used 1136.0 	retained_memory_used 1133.0 	retained_max_memory_used 1133.0
time 2021-06-24 15:54:28.989146 	memory 1138.0 	max_memory_used 1138.0 	retained_memory_used 1135.0 	retained_max_memory_used 1135.0
time 2021-06-24 15:54:38.358012 	memory 1140.0 	max_memory_used 1140.0 	retained_memory_used 1137.0 	retained_max_memory_used 1137.0
time 2021-06-24 15:55:15.720493 	memory 1142.0 	max_memory_used 1142.0 	retained_memory_used 1139.0 	retained_max_memory_used 1139.0
