time 2021-06-24 16:58:02.228574 	memory 3786.0 	max_memory_used 3786.0 	retained_memory_used 3783.0 	retained_max_memory_used 3783.0
time 2021-06-24 16:58:02.231924 	memory 4148.0 	max_memory_used 4148.0 	retained_memory_used 4145.0 	retained_max_memory_used 4145.0
time 2021-06-24 16:58:02.251899 	memory 4458.0 	max_memory_used 4458.0 	retained_memory_used 4455.0 	retained_max_memory_used 4455.0
time 2021-06-24 16:58:03.939080 	memory 4464.0 	max_memory_used 4464.0 	retained_memory_used 4461.0 	retained_max_memory_used 4461.0
time 2021-06-24 16:58:04.079557 	memory 4626.0 	max_memory_used 4626.0 	retained_memory_used 4623.0 	retained_max_memory_used 4623.0
time 2021-06-24 16:58:04.115357 	memory 4654.0 	max_memory_used 4654.0 	retained_memory_used 4651.0 	retained_max_memory_used 4651.0
time 2021-06-24 16:58:04.169409 	memory 4732.0 	max_memory_used 4732.0 	retained_memory_used 4729.0 	retained_max_memory_used 4729.0
time 2021-06-24 16:58:04.194213 	memory 4792.0 	max_memory_used 4792.0 	retained_memory_used 4789.0 	retained_max_memory_used 4789.0
time 2021-06-24 16:58:04.209352 	memory 4818.0 	max_memory_used 4818.0 	retained_memory_used 4815.0 	retained_max_memory_used 4815.0
time 2021-06-24 16:58:04.209698 	memory 4822.0 	max_memory_used 4822.0 	retained_memory_used 4819.0 	retained_max_memory_used 4819.0
time 2021-06-24 16:58:04.248749 	memory 4906.0 	max_memory_used 4906.0 	retained_memory_used 4903.0 	retained_max_memory_used 4903.0
