time 2021-06-24 15:36:55.716763 	memory 666.0 	max_memory_used 666.0 	retained_memory_used 663.0 	retained_max_memory_used 663.0
time 2021-06-24 15:36:55.717131 	memory 676.0 	max_memory_used 676.0 	retained_memory_used 673.0 	retained_max_memory_used 673.0
time 2021-06-24 15:36:55.756692 	memory 726.0 	max_memory_used 726.0 	retained_memory_used 723.0 	retained_max_memory_used 723.0
time 2021-06-24 15:36:55.757170 	memory 740.0 	max_memory_used 740.0 	retained_memory_used 737.0 	retained_max_memory_used 737.0
time 2021-06-24 15:36:55.765311 	memory 744.0 	max_memory_used 744.0 	retained_memory_used 741.0 	retained_max_memory_used 741.0
time 2021-06-24 15:36:55.776257 	memory 1078.0 	max_memory_used 1078.0 	retained_memory_used 1075.0 	retained_max_memory_used 1075.0
time 2021-06-24 15:36:55.825762 	memory 1092.0 	max_memory_used 1092.0 	retained_memory_used 1089.0 	retained_max_memory_used 1089.0
time 2021-06-24 15:36:55.888877 	memory 1108.0 	max_memory_used 1108.0 	retained_memory_used 1105.0 	retained_max_memory_used 1105.0
time 2021-06-24 15:36:55.946506 	memory 1124.0 	max_memory_used 1124.0 	retained_memory_used 1121.0 	retained_max_memory_used 1121.0
time 2021-06-24 15:36:55.969303 	memory 1144.0 	max_memory_used 1144.0 	retained_memory_used 1141.0 	retained_max_memory_used 1141.0
time 2021-06-24 15:36:56.012170 	memory 1184.0 	max_memory_used 1184.0 	retained_memory_used 1181.0 	retained_max_memory_used 1181.0
time 2021-06-24 15:36:56.088083 	memory 1210.0 	max_memory_used 1210.0 	retained_memory_used 1207.0 	retained_max_memory_used 1207.0
time 2021-06-24 15:36:56.162560 	memory 1238.0 	max_memory_used 1238.0 	retained_memory_used 1235.0 	retained_max_memory_used 1235.0
time 2021-06-24 15:36:56.243625 	memory 1272.0 	max_memory_used 1272.0 	retained_memory_used 1269.0 	retained_max_memory_used 1269.0
time 2021-06-24 15:36:56.257880 	memory 1284.0 	max_memory_used 1284.0 	retained_memory_used 1281.0 	retained_max_memory_used 1281.0
time 2021-06-24 15:36:56.283228 	memory 1300.0 	max_memory_used 1300.0 	retained_memory_used 1297.0 	retained_max_memory_used 1297.0
time 2021-06-24 15:36:56.298355 	memory 1312.0 	max_memory_used 1312.0 	retained_memory_used 1309.0 	retained_max_memory_used 1309.0
time 2021-06-24 15:36:56.327228 	memory 1328.0 	max_memory_used 1328.0 	retained_memory_used 1325.0 	retained_max_memory_used 1325.0
