time 2021-06-24 14:31:10.351384 	memory 1924.0 	max_memory_used 1924.0 	retained_memory_used 1921.0 	retained_max_memory_used 1921.0
time 2021-06-24 14:31:10.351773 	memory 1926.0 	max_memory_used 1926.0 	retained_memory_used 1923.0 	retained_max_memory_used 1923.0
time 2021-06-24 14:31:10.352129 	memory 1928.0 	max_memory_used 1928.0 	retained_memory_used 1925.0 	retained_max_memory_used 1925.0
time 2021-06-24 14:31:10.352590 	memory 1930.0 	max_memory_used 1930.0 	retained_memory_used 1927.0 	retained_max_memory_used 1927.0
time 2021-06-24 14:31:10.353299 	memory 1932.0 	max_memory_used 1932.0 	retained_memory_used 1929.0 	retained_max_memory_used 1929.0
time 2021-06-24 14:31:10.513224 	memory 1936.0 	max_memory_used 1936.0 	retained_memory_used 1933.0 	retained_max_memory_used 1933.0
time 2021-06-24 14:31:10.698327 	memory 1938.0 	max_memory_used 1938.0 	retained_memory_used 1935.0 	retained_max_memory_used 1935.0
time 2021-06-24 14:31:10.699086 	memory 1940.0 	max_memory_used 1940.0 	retained_memory_used 1937.0 	retained_max_memory_used 1937.0
time 2021-06-24 14:31:10.712965 	memory 1942.0 	max_memory_used 1942.0 	retained_memory_used 1939.0 	retained_max_memory_used 1939.0
time 2021-06-24 14:31:10.713992 	memory 1948.0 	max_memory_used 1948.0 	retained_memory_used 1945.0 	retained_max_memory_used 1945.0
time 2021-06-24 14:31:10.716084 	memory 1954.0 	max_memory_used 1954.0 	retained_memory_used 1951.0 	retained_max_memory_used 1951.0
time 2021-06-24 14:31:10.716339 	memory 1958.0 	max_memory_used 1958.0 	retained_memory_used 1955.0 	retained_max_memory_used 1955.0
time 2021-06-24 14:31:10.718183 	memory 1960.0 	max_memory_used 1960.0 	retained_memory_used 1957.0 	retained_max_memory_used 1957.0
time 2021-06-24 14:31:10.719744 	memory 1966.0 	max_memory_used 1966.0 	retained_memory_used 1963.0 	retained_max_memory_used 1963.0
time 2021-06-24 14:31:10.720138 	memory 1972.0 	max_memory_used 1972.0 	retained_memory_used 1969.0 	retained_max_memory_used 1969.0
time 2021-06-24 14:31:10.721124 	memory 1974.0 	max_memory_used 1974.0 	retained_memory_used 1971.0 	retained_max_memory_used 1971.0
time 2021-06-24 14:31:10.721590 	memory 1980.0 	max_memory_used 1980.0 	retained_memory_used 1977.0 	retained_max_memory_used 1977.0
time 2021-06-24 14:31:10.722011 	memory 1988.0 	max_memory_used 1988.0 	retained_memory_used 1985.0 	retained_max_memory_used 1985.0
time 2021-06-24 14:31:10.722743 	memory 1990.0 	max_memory_used 1990.0 	retained_memory_used 1987.0 	retained_max_memory_used 1987.0
time 2021-06-24 14:31:10.724570 	memory 2010.0 	max_memory_used 2010.0 	retained_memory_used 2007.0 	retained_max_memory_used 2007.0
time 2021-06-24 14:31:10.725529 	memory 2012.0 	max_memory_used 2012.0 	retained_memory_used 2009.0 	retained_max_memory_used 2009.0
time 2021-06-24 14:31:10.725904 	memory 2018.0 	max_memory_used 2018.0 	retained_memory_used 2015.0 	retained_max_memory_used 2015.0
time 2021-06-24 14:31:10.729982 	memory 2020.0 	max_memory_used 2020.0 	retained_memory_used 2017.0 	retained_max_memory_used 2017.0
time 2021-06-24 14:31:10.735044 	memory 2022.0 	max_memory_used 2022.0 	retained_memory_used 2019.0 	retained_max_memory_used 2019.0
time 2021-06-24 14:31:10.735677 	memory 2036.0 	max_memory_used 2036.0 	retained_memory_used 2033.0 	retained_max_memory_used 2033.0
time 2021-06-24 14:31:10.736888 	memory 2054.0 	max_memory_used 2054.0 	retained_memory_used 2051.0 	retained_max_memory_used 2051.0
time 2021-06-24 14:31:10.745613 	memory 2056.0 	max_memory_used 2056.0 	retained_memory_used 2053.0 	retained_max_memory_used 2053.0
time 2021-06-24 14:31:10.746042 	memory 2058.0 	max_memory_used 2058.0 	retained_memory_used 2055.0 	retained_max_memory_used 2055.0
time 2021-06-24 14:31:10.747388 	memory 2066.0 	max_memory_used 2066.0 	retained_memory_used 2063.0 	retained_max_memory_used 2063.0
time 2021-06-24 14:31:10.767140 	memory 2400.0 	max_memory_used 2400.0 	retained_memory_used 2397.0 	retained_max_memory_used 2397.0
time 2021-06-24 14:31:10.767901 	memory 2418.0 	max_memory_used 2418.0 	retained_memory_used 2415.0 	retained_max_memory_used 2415.0
time 2021-06-24 14:31:10.788491 	memory 2420.0 	max_memory_used 2420.0 	retained_memory_used 2417.0 	retained_max_memory_used 2417.0
time 2021-06-24 14:31:10.788713 	memory 2424.0 	max_memory_used 2424.0 	retained_memory_used 2421.0 	retained_max_memory_used 2421.0
time 2021-06-24 14:31:12.881451 	memory 2462.0 	max_memory_used 2462.0 	retained_memory_used 2459.0 	retained_max_memory_used 2459.0
time 2021-06-24 14:31:12.881850 	memory 2464.0 	max_memory_used 2464.0 	retained_memory_used 2461.0 	retained_max_memory_used 2461.0
time 2021-06-24 14:31:13.038933 	memory 2562.0 	max_memory_used 2562.0 	retained_memory_used 2559.0 	retained_max_memory_used 2559.0
time 2021-06-24 14:31:13.420460 	memory 2576.0 	max_memory_used 2576.0 	retained_memory_used 2573.0 	retained_max_memory_used 2573.0
time 2021-06-24 14:31:13.421449 	memory 2578.0 	max_memory_used 2578.0 	retained_memory_used 2575.0 	retained_max_memory_used 2575.0
time 2021-06-24 14:31:14.222185 	memory 2624.0 	max_memory_used 2624.0 	retained_memory_used 2621.0 	retained_max_memory_used 2621.0
time 2021-06-24 14:31:14.341419 	memory 2700.0 	max_memory_used 2700.0 	retained_memory_used 2697.0 	retained_max_memory_used 2697.0
time 2021-06-24 14:31:14.342211 	memory 2702.0 	max_memory_used 2702.0 	retained_memory_used 2699.0 	retained_max_memory_used 2699.0
time 2021-06-24 14:31:14.455501 	memory 2718.0 	max_memory_used 2718.0 	retained_memory_used 2715.0 	retained_max_memory_used 2715.0
time 2021-06-24 14:31:15.531118 	memory 2782.0 	max_memory_used 2782.0 	retained_memory_used 2779.0 	retained_max_memory_used 2779.0
time 2021-06-24 14:31:15.532189 	memory 2784.0 	max_memory_used 2784.0 	retained_memory_used 2781.0 	retained_max_memory_used 2781.0
time 2021-06-24 14:31:15.562947 	memory 2854.0 	max_memory_used 2854.0 	retained_memory_used 2851.0 	retained_max_memory_used 2851.0
time 2021-06-24 14:31:15.563193 	memory 2858.0 	max_memory_used 2858.0 	retained_memory_used 2855.0 	retained_max_memory_used 2855.0
time 2021-06-24 14:31:15.565128 	memory 2860.0 	max_memory_used 2860.0 	retained_memory_used 2857.0 	retained_max_memory_used 2857.0
time 2021-06-24 14:31:15.565385 	memory 2864.0 	max_memory_used 2864.0 	retained_memory_used 2861.0 	retained_max_memory_used 2861.0
time 2021-06-24 14:31:16.660231 	memory 2888.0 	max_memory_used 2888.0 	retained_memory_used 2885.0 	retained_max_memory_used 2885.0
time 2021-06-24 14:31:16.737380 	memory 2922.0 	max_memory_used 2922.0 	retained_memory_used 2919.0 	retained_max_memory_used 2919.0
time 2021-06-24 14:31:16.738030 	memory 2926.0 	max_memory_used 2926.0 	retained_memory_used 2923.0 	retained_max_memory_used 2923.0
time 2021-06-24 14:31:16.738653 	memory 2930.0 	max_memory_used 2930.0 	retained_memory_used 2927.0 	retained_max_memory_used 2927.0
