time 2021-06-24 09:38:50.062716 	memory 596.0 	max_memory_used 596.0 	retained_memory_used 593.0 	retained_max_memory_used 593.0
time 2021-06-24 09:38:50.063241 	memory 614.0 	max_memory_used 614.0 	retained_memory_used 611.0 	retained_max_memory_used 611.0
time 2021-06-24 09:38:50.217923 	memory 630.0 	max_memory_used 630.0 	retained_memory_used 627.0 	retained_max_memory_used 627.0
time 2021-06-24 09:38:50.234116 	memory 632.0 	max_memory_used 632.0 	retained_memory_used 629.0 	retained_max_memory_used 629.0
time 2021-06-24 09:38:50.235062 	memory 634.0 	max_memory_used 634.0 	retained_memory_used 631.0 	retained_max_memory_used 631.0
time 2021-06-24 09:38:50.235994 	memory 636.0 	max_memory_used 636.0 	retained_memory_used 633.0 	retained_max_memory_used 633.0
time 2021-06-24 09:38:50.236960 	memory 638.0 	max_memory_used 638.0 	retained_memory_used 635.0 	retained_max_memory_used 635.0
time 2021-06-24 09:38:50.237807 	memory 640.0 	max_memory_used 640.0 	retained_memory_used 637.0 	retained_max_memory_used 637.0
time 2021-06-24 09:38:50.238572 	memory 642.0 	max_memory_used 642.0 	retained_memory_used 639.0 	retained_max_memory_used 639.0
time 2021-06-24 09:38:50.239377 	memory 644.0 	max_memory_used 644.0 	retained_memory_used 641.0 	retained_max_memory_used 641.0
time 2021-06-24 09:38:50.240166 	memory 646.0 	max_memory_used 646.0 	retained_memory_used 643.0 	retained_max_memory_used 643.0
time 2021-06-24 09:38:50.240716 	memory 648.0 	max_memory_used 648.0 	retained_memory_used 645.0 	retained_max_memory_used 645.0
time 2021-06-24 09:38:50.241242 	memory 650.0 	max_memory_used 650.0 	retained_memory_used 647.0 	retained_max_memory_used 647.0
time 2021-06-24 09:38:50.241769 	memory 652.0 	max_memory_used 652.0 	retained_memory_used 649.0 	retained_max_memory_used 649.0
time 2021-06-24 09:38:50.242302 	memory 654.0 	max_memory_used 654.0 	retained_memory_used 651.0 	retained_max_memory_used 651.0
time 2021-06-24 09:38:50.242825 	memory 656.0 	max_memory_used 656.0 	retained_memory_used 653.0 	retained_max_memory_used 653.0
time 2021-06-24 09:38:50.243377 	memory 658.0 	max_memory_used 658.0 	retained_memory_used 655.0 	retained_max_memory_used 655.0
time 2021-06-24 09:38:50.243824 	memory 660.0 	max_memory_used 660.0 	retained_memory_used 657.0 	retained_max_memory_used 657.0
time 2021-06-24 09:38:50.244280 	memory 662.0 	max_memory_used 662.0 	retained_memory_used 659.0 	retained_max_memory_used 659.0
time 2021-06-24 09:38:50.244755 	memory 664.0 	max_memory_used 664.0 	retained_memory_used 661.0 	retained_max_memory_used 661.0
time 2021-06-24 09:38:50.245232 	memory 666.0 	max_memory_used 666.0 	retained_memory_used 663.0 	retained_max_memory_used 663.0
time 2021-06-24 09:38:50.245731 	memory 668.0 	max_memory_used 668.0 	retained_memory_used 665.0 	retained_max_memory_used 665.0
time 2021-06-24 09:38:50.246224 	memory 670.0 	max_memory_used 670.0 	retained_memory_used 667.0 	retained_max_memory_used 667.0
time 2021-06-24 09:38:50.246722 	memory 672.0 	max_memory_used 672.0 	retained_memory_used 669.0 	retained_max_memory_used 669.0
time 2021-06-24 09:38:50.247224 	memory 674.0 	max_memory_used 674.0 	retained_memory_used 671.0 	retained_max_memory_used 671.0
time 2021-06-24 09:38:50.247729 	memory 676.0 	max_memory_used 676.0 	retained_memory_used 673.0 	retained_max_memory_used 673.0
time 2021-06-24 09:38:50.248232 	memory 678.0 	max_memory_used 678.0 	retained_memory_used 675.0 	retained_max_memory_used 675.0
time 2021-06-24 09:38:50.248756 	memory 680.0 	max_memory_used 680.0 	retained_memory_used 677.0 	retained_max_memory_used 677.0
time 2021-06-24 09:38:50.249269 	memory 682.0 	max_memory_used 682.0 	retained_memory_used 679.0 	retained_max_memory_used 679.0
time 2021-06-24 09:38:50.249780 	memory 686.0 	max_memory_used 686.0 	retained_memory_used 683.0 	retained_max_memory_used 683.0
time 2021-06-24 09:38:50.250342 	memory 690.0 	max_memory_used 690.0 	retained_memory_used 687.0 	retained_max_memory_used 687.0
time 2021-06-24 09:38:50.250974 	memory 694.0 	max_memory_used 694.0 	retained_memory_used 691.0 	retained_max_memory_used 691.0
time 2021-06-24 09:38:50.251590 	memory 698.0 	max_memory_used 698.0 	retained_memory_used 695.0 	retained_max_memory_used 695.0
time 2021-06-24 09:38:50.252250 	memory 702.0 	max_memory_used 702.0 	retained_memory_used 699.0 	retained_max_memory_used 699.0
time 2021-06-24 09:38:50.255641 	memory 728.0 	max_memory_used 728.0 	retained_memory_used 725.0 	retained_max_memory_used 725.0
time 2021-06-24 09:38:50.256968 	memory 772.0 	max_memory_used 772.0 	retained_memory_used 769.0 	retained_max_memory_used 769.0
time 2021-06-24 09:38:50.258652 	memory 816.0 	max_memory_used 816.0 	retained_memory_used 813.0 	retained_max_memory_used 813.0
time 2021-06-24 09:38:50.260144 	memory 902.0 	max_memory_used 902.0 	retained_memory_used 899.0 	retained_max_memory_used 899.0
time 2021-06-24 09:38:50.262048 	memory 906.0 	max_memory_used 906.0 	retained_memory_used 903.0 	retained_max_memory_used 903.0
time 2021-06-24 09:38:50.263343 	memory 992.0 	max_memory_used 992.0 	retained_memory_used 989.0 	retained_max_memory_used 989.0
time 2021-06-24 09:38:50.264415 	memory 998.0 	max_memory_used 998.0 	retained_memory_used 995.0 	retained_max_memory_used 995.0
time 2021-06-24 09:38:50.265855 	memory 1004.0 	max_memory_used 1004.0 	retained_memory_used 1001.0 	retained_max_memory_used 1001.0
time 2021-06-24 09:38:50.281885 	memory 1056.0 	max_memory_used 1056.0 	retained_memory_used 1053.0 	retained_max_memory_used 1053.0
time 2021-06-24 09:38:50.283713 	memory 1058.0 	max_memory_used 1058.0 	retained_memory_used 1055.0 	retained_max_memory_used 1055.0
