time 2021-06-24 14:53:42.915496 	memory 5494.0 	max_memory_used 5494.0 	retained_memory_used 5491.0 	retained_max_memory_used 5491.0
time 2021-06-24 14:53:42.916189 	memory 5508.0 	max_memory_used 5508.0 	retained_memory_used 5505.0 	retained_max_memory_used 5505.0
time 2021-06-24 14:53:42.918161 	memory 5860.0 	max_memory_used 5860.0 	retained_memory_used 5857.0 	retained_max_memory_used 5857.0
time 2021-06-24 14:53:42.918392 	memory 5870.0 	max_memory_used 5870.0 	retained_memory_used 5867.0 	retained_max_memory_used 5867.0
time 2021-06-24 14:53:43.606350 	memory 6212.0 	max_memory_used 6212.0 	retained_memory_used 6209.0 	retained_max_memory_used 6209.0
time 2021-06-24 14:53:43.606969 	memory 6216.0 	max_memory_used 6216.0 	retained_memory_used 6213.0 	retained_max_memory_used 6213.0
time 2021-06-24 14:53:43.747680 	memory 6348.0 	max_memory_used 6348.0 	retained_memory_used 6345.0 	retained_max_memory_used 6345.0
time 2021-06-24 14:53:43.748076 	memory 6350.0 	max_memory_used 6350.0 	retained_memory_used 6347.0 	retained_max_memory_used 6347.0
time 2021-06-24 14:53:45.338391 	memory 6460.0 	max_memory_used 6460.0 	retained_memory_used 6457.0 	retained_max_memory_used 6457.0
time 2021-06-24 14:53:45.339264 	memory 6462.0 	max_memory_used 6462.0 	retained_memory_used 6459.0 	retained_max_memory_used 6459.0
time 2021-06-24 14:53:46.937523 	memory 6480.0 	max_memory_used 6480.0 	retained_memory_used 6477.0 	retained_max_memory_used 6477.0
time 2021-06-24 14:53:46.938261 	memory 6482.0 	max_memory_used 6482.0 	retained_memory_used 6479.0 	retained_max_memory_used 6479.0
time 2021-06-24 14:53:50.055405 	memory 6508.0 	max_memory_used 6508.0 	retained_memory_used 6505.0 	retained_max_memory_used 6505.0
time 2021-06-24 14:53:51.697914 	memory 6548.0 	max_memory_used 6548.0 	retained_memory_used 6545.0 	retained_max_memory_used 6545.0
time 2021-06-24 14:53:51.698489 	memory 6550.0 	max_memory_used 6550.0 	retained_memory_used 6547.0 	retained_max_memory_used 6547.0
time 2021-06-24 14:54:15.062139 	memory 6960.0 	max_memory_used 6960.0 	retained_memory_used 6957.0 	retained_max_memory_used 6957.0
time 2021-06-24 14:54:15.062862 	memory 6962.0 	max_memory_used 6962.0 	retained_memory_used 6959.0 	retained_max_memory_used 6959.0
time 2021-06-24 14:54:15.115068 	memory 6970.0 	max_memory_used 6970.0 	retained_memory_used 6967.0 	retained_max_memory_used 6967.0
time 2021-06-24 14:54:15.366805 	memory 6972.0 	max_memory_used 6972.0 	retained_memory_used 6969.0 	retained_max_memory_used 6969.0
