time 2021-06-24 18:05:04.618369 	memory 690.0 	max_memory_used 690.0 	retained_memory_used 687.0 	retained_max_memory_used 687.0
time 2021-06-24 18:05:04.782420 	memory 712.0 	max_memory_used 712.0 	retained_memory_used 709.0 	retained_max_memory_used 709.0
time 2021-06-24 18:05:04.788505 	memory 720.0 	max_memory_used 720.0 	retained_memory_used 717.0 	retained_max_memory_used 717.0
time 2021-06-24 18:05:04.790341 	memory 742.0 	max_memory_used 742.0 	retained_memory_used 739.0 	retained_max_memory_used 739.0
time 2021-06-24 18:05:04.791578 	memory 764.0 	max_memory_used 764.0 	retained_memory_used 761.0 	retained_max_memory_used 761.0
time 2021-06-24 18:05:04.792371 	memory 766.0 	max_memory_used 766.0 	retained_memory_used 763.0 	retained_max_memory_used 763.0
time 2021-06-24 18:05:04.793231 	memory 810.0 	max_memory_used 810.0 	retained_memory_used 807.0 	retained_max_memory_used 807.0
time 2021-06-24 18:05:04.793601 	memory 814.0 	max_memory_used 814.0 	retained_memory_used 811.0 	retained_max_memory_used 811.0
time 2021-06-24 18:05:04.794653 	memory 818.0 	max_memory_used 818.0 	retained_memory_used 815.0 	retained_max_memory_used 815.0
time 2021-06-24 18:05:04.795207 	memory 862.0 	max_memory_used 862.0 	retained_memory_used 859.0 	retained_max_memory_used 859.0
time 2021-06-24 18:05:04.795857 	memory 866.0 	max_memory_used 866.0 	retained_memory_used 863.0 	retained_max_memory_used 863.0
time 2021-06-24 18:05:04.796265 	memory 878.0 	max_memory_used 878.0 	retained_memory_used 875.0 	retained_max_memory_used 875.0
time 2021-06-24 18:05:04.797038 	memory 882.0 	max_memory_used 882.0 	retained_memory_used 879.0 	retained_max_memory_used 879.0
time 2021-06-24 18:05:04.803722 	memory 896.0 	max_memory_used 896.0 	retained_memory_used 893.0 	retained_max_memory_used 893.0
time 2021-06-24 18:05:04.805170 	memory 926.0 	max_memory_used 926.0 	retained_memory_used 923.0 	retained_max_memory_used 923.0
time 2021-06-24 18:05:04.805803 	memory 934.0 	max_memory_used 934.0 	retained_memory_used 931.0 	retained_max_memory_used 931.0
time 2021-06-24 18:05:04.806348 	memory 938.0 	max_memory_used 938.0 	retained_memory_used 935.0 	retained_max_memory_used 935.0
time 2021-06-24 18:05:04.807056 	memory 942.0 	max_memory_used 942.0 	retained_memory_used 939.0 	retained_max_memory_used 939.0
time 2021-06-24 18:05:04.807855 	memory 944.0 	max_memory_used 944.0 	retained_memory_used 941.0 	retained_max_memory_used 941.0
time 2021-06-24 18:05:04.808775 	memory 946.0 	max_memory_used 946.0 	retained_memory_used 943.0 	retained_max_memory_used 943.0
