time 2021-06-24 15:16:55.851081 	memory 2611.0 	max_memory_used 2611.0 	retained_memory_used 2608.0 	retained_max_memory_used 2608.0
time 2021-06-24 15:16:55.851562 	memory 2613.0 	max_memory_used 2613.0 	retained_memory_used 2610.0 	retained_max_memory_used 2610.0
time 2021-06-24 15:16:56.251527 	memory 2641.0 	max_memory_used 2641.0 	retained_memory_used 2638.0 	retained_max_memory_used 2638.0
time 2021-06-24 15:16:56.333413 	memory 2649.0 	max_memory_used 2649.0 	retained_memory_used 2646.0 	retained_max_memory_used 2646.0
time 2021-06-24 15:16:56.333647 	memory 2651.0 	max_memory_used 2651.0 	retained_memory_used 2648.0 	retained_max_memory_used 2648.0
time 2021-06-24 15:16:56.337341 	memory 2653.0 	max_memory_used 2653.0 	retained_memory_used 2650.0 	retained_max_memory_used 2650.0
time 2021-06-24 15:16:56.338005 	memory 2655.0 	max_memory_used 2655.0 	retained_memory_used 2652.0 	retained_max_memory_used 2652.0
time 2021-06-24 15:16:56.338683 	memory 2657.0 	max_memory_used 2657.0 	retained_memory_used 2654.0 	retained_max_memory_used 2654.0
time 2021-06-24 15:16:56.339676 	memory 2661.0 	max_memory_used 2661.0 	retained_memory_used 2658.0 	retained_max_memory_used 2658.0
time 2021-06-24 15:16:56.340759 	memory 2663.0 	max_memory_used 2663.0 	retained_memory_used 2660.0 	retained_max_memory_used 2660.0
time 2021-06-24 15:16:56.341166 	memory 2665.0 	max_memory_used 2665.0 	retained_memory_used 2662.0 	retained_max_memory_used 2662.0
time 2021-06-24 15:16:56.341803 	memory 2667.0 	max_memory_used 2667.0 	retained_memory_used 2664.0 	retained_max_memory_used 2664.0
time 2021-06-24 15:16:56.343963 	memory 2671.0 	max_memory_used 2671.0 	retained_memory_used 2668.0 	retained_max_memory_used 2668.0
time 2021-06-24 15:16:56.344306 	memory 2675.0 	max_memory_used 2675.0 	retained_memory_used 2672.0 	retained_max_memory_used 2672.0
time 2021-06-24 15:16:56.345359 	memory 2683.0 	max_memory_used 2683.0 	retained_memory_used 2680.0 	retained_max_memory_used 2680.0
time 2021-06-24 15:16:56.345889 	memory 2685.0 	max_memory_used 2685.0 	retained_memory_used 2682.0 	retained_max_memory_used 2682.0
time 2021-06-24 15:16:56.350393 	memory 2687.0 	max_memory_used 2687.0 	retained_memory_used 2684.0 	retained_max_memory_used 2684.0
time 2021-06-24 15:16:56.351545 	memory 2689.0 	max_memory_used 2689.0 	retained_memory_used 2686.0 	retained_max_memory_used 2686.0
time 2021-06-24 15:16:56.352023 	memory 2693.0 	max_memory_used 2693.0 	retained_memory_used 2690.0 	retained_max_memory_used 2690.0
time 2021-06-24 15:16:56.352918 	memory 2697.0 	max_memory_used 2697.0 	retained_memory_used 2694.0 	retained_max_memory_used 2694.0
time 2021-06-24 15:16:56.353432 	memory 2701.0 	max_memory_used 2701.0 	retained_memory_used 2698.0 	retained_max_memory_used 2698.0
time 2021-06-24 15:16:56.353890 	memory 2705.0 	max_memory_used 2705.0 	retained_memory_used 2702.0 	retained_max_memory_used 2702.0
time 2021-06-24 15:16:56.354389 	memory 2709.0 	max_memory_used 2709.0 	retained_memory_used 2706.0 	retained_max_memory_used 2706.0
time 2021-06-24 15:16:56.356277 	memory 2711.0 	max_memory_used 2711.0 	retained_memory_used 2708.0 	retained_max_memory_used 2708.0
time 2021-06-24 15:16:56.356694 	memory 2713.0 	max_memory_used 2713.0 	retained_memory_used 2710.0 	retained_max_memory_used 2710.0
time 2021-06-24 15:16:56.356964 	memory 2715.0 	max_memory_used 2715.0 	retained_memory_used 2712.0 	retained_max_memory_used 2712.0
time 2021-06-24 15:16:56.357470 	memory 2717.0 	max_memory_used 2717.0 	retained_memory_used 2714.0 	retained_max_memory_used 2714.0
time 2021-06-24 15:16:56.357725 	memory 2719.0 	max_memory_used 2719.0 	retained_memory_used 2716.0 	retained_max_memory_used 2716.0
time 2021-06-24 15:16:56.358230 	memory 2721.0 	max_memory_used 2721.0 	retained_memory_used 2718.0 	retained_max_memory_used 2718.0
time 2021-06-24 15:16:56.358484 	memory 2723.0 	max_memory_used 2723.0 	retained_memory_used 2720.0 	retained_max_memory_used 2720.0
time 2021-06-24 15:16:56.363200 	memory 2725.0 	max_memory_used 2725.0 	retained_memory_used 2722.0 	retained_max_memory_used 2722.0
time 2021-06-24 15:16:56.365786 	memory 2731.0 	max_memory_used 2731.0 	retained_memory_used 2728.0 	retained_max_memory_used 2728.0
time 2021-06-24 15:16:56.368931 	memory 2735.0 	max_memory_used 2735.0 	retained_memory_used 2732.0 	retained_max_memory_used 2732.0
time 2021-06-24 15:16:56.371327 	memory 2739.0 	max_memory_used 2739.0 	retained_memory_used 2736.0 	retained_max_memory_used 2736.0
time 2021-06-24 15:16:56.373140 	memory 2747.0 	max_memory_used 2747.0 	retained_memory_used 2744.0 	retained_max_memory_used 2744.0
time 2021-06-24 15:16:56.374035 	memory 2751.0 	max_memory_used 2751.0 	retained_memory_used 2748.0 	retained_max_memory_used 2748.0
time 2021-06-24 15:16:56.375273 	memory 2753.0 	max_memory_used 2753.0 	retained_memory_used 2750.0 	retained_max_memory_used 2750.0
time 2021-06-24 15:16:56.377974 	memory 2755.0 	max_memory_used 2755.0 	retained_memory_used 2752.0 	retained_max_memory_used 2752.0
time 2021-06-24 15:16:56.378401 	memory 2757.0 	max_memory_used 2757.0 	retained_memory_used 2754.0 	retained_max_memory_used 2754.0
time 2021-06-24 15:16:56.379105 	memory 2759.0 	max_memory_used 2759.0 	retained_memory_used 2756.0 	retained_max_memory_used 2756.0
time 2021-06-24 15:16:56.381847 	memory 2763.0 	max_memory_used 2763.0 	retained_memory_used 2760.0 	retained_max_memory_used 2760.0
time 2021-06-24 15:16:56.382667 	memory 2767.0 	max_memory_used 2767.0 	retained_memory_used 2764.0 	retained_max_memory_used 2764.0
time 2021-06-24 15:16:56.383102 	memory 2769.0 	max_memory_used 2769.0 	retained_memory_used 2766.0 	retained_max_memory_used 2766.0
time 2021-06-24 15:16:56.384009 	memory 2773.0 	max_memory_used 2773.0 	retained_memory_used 2770.0 	retained_max_memory_used 2770.0
time 2021-06-24 15:16:56.384799 	memory 2777.0 	max_memory_used 2777.0 	retained_memory_used 2774.0 	retained_max_memory_used 2774.0
time 2021-06-24 15:16:56.385457 	memory 2779.0 	max_memory_used 2779.0 	retained_memory_used 2776.0 	retained_max_memory_used 2776.0
time 2021-06-24 15:16:56.386081 	memory 2783.0 	max_memory_used 2783.0 	retained_memory_used 2780.0 	retained_max_memory_used 2780.0
time 2021-06-24 15:16:56.386476 	memory 2785.0 	max_memory_used 2785.0 	retained_memory_used 2782.0 	retained_max_memory_used 2782.0
time 2021-06-24 15:16:56.389685 	memory 2787.0 	max_memory_used 2787.0 	retained_memory_used 2784.0 	retained_max_memory_used 2784.0
time 2021-06-24 15:16:56.390291 	memory 2789.0 	max_memory_used 2789.0 	retained_memory_used 2786.0 	retained_max_memory_used 2786.0
time 2021-06-24 15:16:56.390526 	memory 2793.0 	max_memory_used 2793.0 	retained_memory_used 2790.0 	retained_max_memory_used 2790.0
time 2021-06-24 15:16:56.392012 	memory 2795.0 	max_memory_used 2795.0 	retained_memory_used 2792.0 	retained_max_memory_used 2792.0
time 2021-06-24 15:16:56.394242 	memory 2799.0 	max_memory_used 2799.0 	retained_memory_used 2796.0 	retained_max_memory_used 2796.0
time 2021-06-24 15:16:56.399420 	memory 2803.0 	max_memory_used 2803.0 	retained_memory_used 2800.0 	retained_max_memory_used 2800.0
time 2021-06-24 15:16:56.402727 	memory 2807.0 	max_memory_used 2807.0 	retained_memory_used 2804.0 	retained_max_memory_used 2804.0
time 2021-06-24 15:16:56.403186 	memory 2811.0 	max_memory_used 2811.0 	retained_memory_used 2808.0 	retained_max_memory_used 2808.0
