time 2021-06-24 15:21:55.283358 	memory 1756.0 	max_memory_used 1756.0 	retained_memory_used 1753.0 	retained_max_memory_used 1753.0
time 2021-06-24 15:21:55.283896 	memory 1758.0 	max_memory_used 1758.0 	retained_memory_used 1755.0 	retained_max_memory_used 1755.0
time 2021-06-24 15:21:55.289235 	memory 1760.0 	max_memory_used 1760.0 	retained_memory_used 1757.0 	retained_max_memory_used 1757.0
time 2021-06-24 15:21:55.293721 	memory 1764.0 	max_memory_used 1764.0 	retained_memory_used 1761.0 	retained_max_memory_used 1761.0
time 2021-06-24 15:21:55.294120 	memory 1768.0 	max_memory_used 1768.0 	retained_memory_used 1765.0 	retained_max_memory_used 1765.0
time 2021-06-24 15:21:55.294508 	memory 1772.0 	max_memory_used 1772.0 	retained_memory_used 1769.0 	retained_max_memory_used 1769.0
time 2021-06-24 15:21:55.294892 	memory 1776.0 	max_memory_used 1776.0 	retained_memory_used 1773.0 	retained_max_memory_used 1773.0
time 2021-06-24 15:21:55.319910 	memory 1780.0 	max_memory_used 1780.0 	retained_memory_used 1777.0 	retained_max_memory_used 1777.0
time 2021-06-24 15:21:55.320261 	memory 1784.0 	max_memory_used 1784.0 	retained_memory_used 1781.0 	retained_max_memory_used 1781.0
time 2021-06-24 15:21:55.320715 	memory 1788.0 	max_memory_used 1788.0 	retained_memory_used 1785.0 	retained_max_memory_used 1785.0
time 2021-06-24 15:21:55.349767 	memory 1790.0 	max_memory_used 1790.0 	retained_memory_used 1787.0 	retained_max_memory_used 1787.0
time 2021-06-24 15:21:55.350123 	memory 1792.0 	max_memory_used 1792.0 	retained_memory_used 1789.0 	retained_max_memory_used 1789.0
time 2021-06-24 15:21:55.350464 	memory 1794.0 	max_memory_used 1794.0 	retained_memory_used 1791.0 	retained_max_memory_used 1791.0
time 2021-06-24 15:21:55.367461 	memory 1796.0 	max_memory_used 1796.0 	retained_memory_used 1793.0 	retained_max_memory_used 1793.0
time 2021-06-24 15:21:55.367811 	memory 1798.0 	max_memory_used 1798.0 	retained_memory_used 1795.0 	retained_max_memory_used 1795.0
time 2021-06-24 15:21:55.368135 	memory 1800.0 	max_memory_used 1800.0 	retained_memory_used 1797.0 	retained_max_memory_used 1797.0
time 2021-06-24 15:21:55.370551 	memory 1804.0 	max_memory_used 1804.0 	retained_memory_used 1801.0 	retained_max_memory_used 1801.0
time 2021-06-24 15:21:55.372028 	memory 1808.0 	max_memory_used 1808.0 	retained_memory_used 1805.0 	retained_max_memory_used 1805.0
time 2021-06-24 15:21:55.372729 	memory 1814.0 	max_memory_used 1814.0 	retained_memory_used 1811.0 	retained_max_memory_used 1811.0
