time 2021-06-24 15:00:03.839038 	memory 566.0 	max_memory_used 566.0 	retained_memory_used 563.0 	retained_max_memory_used 563.0
time 2021-06-24 15:00:03.839707 	memory 576.0 	max_memory_used 576.0 	retained_memory_used 573.0 	retained_max_memory_used 573.0
time 2021-06-24 15:00:04.063553 	memory 580.0 	max_memory_used 580.0 	retained_memory_used 577.0 	retained_max_memory_used 577.0
time 2021-06-24 15:00:04.064223 	memory 620.0 	max_memory_used 620.0 	retained_memory_used 617.0 	retained_max_memory_used 617.0
time 2021-06-24 15:00:04.066906 	memory 660.0 	max_memory_used 660.0 	retained_memory_used 657.0 	retained_max_memory_used 657.0
time 2021-06-24 15:00:04.070182 	memory 664.0 	max_memory_used 664.0 	retained_memory_used 661.0 	retained_max_memory_used 661.0
time 2021-06-24 15:00:04.070497 	memory 668.0 	max_memory_used 668.0 	retained_memory_used 665.0 	retained_max_memory_used 665.0
time 2021-06-24 15:00:04.070976 	memory 672.0 	max_memory_used 672.0 	retained_memory_used 669.0 	retained_max_memory_used 669.0
time 2021-06-24 15:00:04.071072 	memory 676.0 	max_memory_used 676.0 	retained_memory_used 673.0 	retained_max_memory_used 673.0
time 2021-06-24 15:00:04.074255 	memory 718.0 	max_memory_used 718.0 	retained_memory_used 715.0 	retained_max_memory_used 715.0
time 2021-06-24 15:00:04.076536 	memory 720.0 	max_memory_used 720.0 	retained_memory_used 717.0 	retained_max_memory_used 717.0
time 2021-06-24 15:00:04.077301 	memory 722.0 	max_memory_used 722.0 	retained_memory_used 719.0 	retained_max_memory_used 719.0
time 2021-06-24 15:00:04.078058 	memory 724.0 	max_memory_used 724.0 	retained_memory_used 721.0 	retained_max_memory_used 721.0
time 2021-06-24 15:00:04.078819 	memory 726.0 	max_memory_used 726.0 	retained_memory_used 723.0 	retained_max_memory_used 723.0
time 2021-06-24 15:00:04.079615 	memory 728.0 	max_memory_used 728.0 	retained_memory_used 725.0 	retained_max_memory_used 725.0
time 2021-06-24 15:00:04.080358 	memory 730.0 	max_memory_used 730.0 	retained_memory_used 727.0 	retained_max_memory_used 727.0
time 2021-06-24 15:00:04.081308 	memory 732.0 	max_memory_used 732.0 	retained_memory_used 729.0 	retained_max_memory_used 729.0
time 2021-06-24 15:00:04.081991 	memory 734.0 	max_memory_used 734.0 	retained_memory_used 731.0 	retained_max_memory_used 731.0
time 2021-06-24 15:00:04.082593 	memory 738.0 	max_memory_used 738.0 	retained_memory_used 735.0 	retained_max_memory_used 735.0
time 2021-06-24 15:00:04.083204 	memory 742.0 	max_memory_used 742.0 	retained_memory_used 739.0 	retained_max_memory_used 739.0
time 2021-06-24 15:00:04.083802 	memory 746.0 	max_memory_used 746.0 	retained_memory_used 743.0 	retained_max_memory_used 743.0
time 2021-06-24 15:00:04.084401 	memory 750.0 	max_memory_used 750.0 	retained_memory_used 747.0 	retained_max_memory_used 747.0
time 2021-06-24 15:00:04.085009 	memory 754.0 	max_memory_used 754.0 	retained_memory_used 751.0 	retained_max_memory_used 751.0
time 2021-06-24 15:00:04.085759 	memory 758.0 	max_memory_used 758.0 	retained_memory_used 755.0 	retained_max_memory_used 755.0
time 2021-06-24 15:00:04.086505 	memory 762.0 	max_memory_used 762.0 	retained_memory_used 759.0 	retained_max_memory_used 759.0
time 2021-06-24 15:00:04.087249 	memory 766.0 	max_memory_used 766.0 	retained_memory_used 763.0 	retained_max_memory_used 763.0
time 2021-06-24 15:00:04.087999 	memory 770.0 	max_memory_used 770.0 	retained_memory_used 767.0 	retained_max_memory_used 767.0
time 2021-06-24 15:00:04.088746 	memory 774.0 	max_memory_used 774.0 	retained_memory_used 771.0 	retained_max_memory_used 771.0
time 2021-06-24 15:00:04.089496 	memory 778.0 	max_memory_used 778.0 	retained_memory_used 775.0 	retained_max_memory_used 775.0
time 2021-06-24 15:00:04.090241 	memory 782.0 	max_memory_used 782.0 	retained_memory_used 779.0 	retained_max_memory_used 779.0
time 2021-06-24 15:00:04.090985 	memory 786.0 	max_memory_used 786.0 	retained_memory_used 783.0 	retained_max_memory_used 783.0
time 2021-06-24 15:00:04.091726 	memory 790.0 	max_memory_used 790.0 	retained_memory_used 787.0 	retained_max_memory_used 787.0
time 2021-06-24 15:00:04.092465 	memory 798.0 	max_memory_used 798.0 	retained_memory_used 795.0 	retained_max_memory_used 795.0
time 2021-06-24 15:00:04.104710 	memory 800.0 	max_memory_used 800.0 	retained_memory_used 797.0 	retained_max_memory_used 797.0
time 2021-06-24 15:00:04.105533 	memory 812.0 	max_memory_used 812.0 	retained_memory_used 809.0 	retained_max_memory_used 809.0
time 2021-06-24 15:00:04.106652 	memory 824.0 	max_memory_used 824.0 	retained_memory_used 821.0 	retained_max_memory_used 821.0
time 2021-06-24 15:00:04.109007 	memory 826.0 	max_memory_used 826.0 	retained_memory_used 823.0 	retained_max_memory_used 823.0
time 2021-06-24 15:00:04.115845 	memory 836.0 	max_memory_used 836.0 	retained_memory_used 833.0 	retained_max_memory_used 833.0
time 2021-06-24 15:00:04.134236 	memory 838.0 	max_memory_used 838.0 	retained_memory_used 835.0 	retained_max_memory_used 835.0
time 2021-06-24 15:00:04.134722 	memory 842.0 	max_memory_used 842.0 	retained_memory_used 839.0 	retained_max_memory_used 839.0
time 2021-06-24 15:00:04.145562 	memory 846.0 	max_memory_used 846.0 	retained_memory_used 843.0 	retained_max_memory_used 843.0
time 2021-06-24 15:00:04.154088 	memory 858.0 	max_memory_used 858.0 	retained_memory_used 855.0 	retained_max_memory_used 855.0
time 2021-06-24 15:00:04.154853 	memory 860.0 	max_memory_used 860.0 	retained_memory_used 857.0 	retained_max_memory_used 857.0
time 2021-06-24 15:00:04.155489 	memory 864.0 	max_memory_used 864.0 	retained_memory_used 861.0 	retained_max_memory_used 861.0
time 2021-06-24 15:00:04.156202 	memory 868.0 	max_memory_used 868.0 	retained_memory_used 865.0 	retained_max_memory_used 865.0
time 2021-06-24 15:00:04.159198 	memory 872.0 	max_memory_used 872.0 	retained_memory_used 869.0 	retained_max_memory_used 869.0
time 2021-06-24 15:00:04.159606 	memory 876.0 	max_memory_used 876.0 	retained_memory_used 873.0 	retained_max_memory_used 873.0
time 2021-06-24 15:00:04.159997 	memory 880.0 	max_memory_used 880.0 	retained_memory_used 877.0 	retained_max_memory_used 877.0
time 2021-06-24 15:00:04.160381 	memory 884.0 	max_memory_used 884.0 	retained_memory_used 881.0 	retained_max_memory_used 881.0
time 2021-06-24 15:00:04.188419 	memory 904.0 	max_memory_used 904.0 	retained_memory_used 901.0 	retained_max_memory_used 901.0
time 2021-06-24 15:00:04.198590 	memory 908.0 	max_memory_used 908.0 	retained_memory_used 905.0 	retained_max_memory_used 905.0
time 2021-06-24 15:00:04.199278 	memory 918.0 	max_memory_used 918.0 	retained_memory_used 915.0 	retained_max_memory_used 915.0
time 2021-06-24 15:00:04.202128 	memory 922.0 	max_memory_used 922.0 	retained_memory_used 919.0 	retained_max_memory_used 919.0
time 2021-06-24 15:00:04.202510 	memory 926.0 	max_memory_used 926.0 	retained_memory_used 923.0 	retained_max_memory_used 923.0
time 2021-06-24 15:00:04.202873 	memory 930.0 	max_memory_used 930.0 	retained_memory_used 927.0 	retained_max_memory_used 927.0
time 2021-06-24 15:00:04.203231 	memory 934.0 	max_memory_used 934.0 	retained_memory_used 931.0 	retained_max_memory_used 931.0
time 2021-06-24 15:00:04.206494 	memory 974.0 	max_memory_used 974.0 	retained_memory_used 971.0 	retained_max_memory_used 971.0
time 2021-06-24 15:00:04.216838 	memory 976.0 	max_memory_used 976.0 	retained_memory_used 973.0 	retained_max_memory_used 973.0
time 2021-06-24 15:00:04.227142 	memory 1002.0 	max_memory_used 1002.0 	retained_memory_used 999.0 	retained_max_memory_used 999.0
time 2021-06-24 15:00:04.231874 	memory 1050.0 	max_memory_used 1050.0 	retained_memory_used 1047.0 	retained_max_memory_used 1047.0
time 2021-06-24 15:00:04.232291 	memory 1052.0 	max_memory_used 1052.0 	retained_memory_used 1049.0 	retained_max_memory_used 1049.0
time 2021-06-24 15:00:04.233505 	memory 1100.0 	max_memory_used 1100.0 	retained_memory_used 1097.0 	retained_max_memory_used 1097.0
time 2021-06-24 15:00:04.236389 	memory 1104.0 	max_memory_used 1104.0 	retained_memory_used 1101.0 	retained_max_memory_used 1101.0
time 2021-06-24 15:00:04.237340 	memory 1108.0 	max_memory_used 1108.0 	retained_memory_used 1105.0 	retained_max_memory_used 1105.0
time 2021-06-24 15:00:04.238219 	memory 1112.0 	max_memory_used 1112.0 	retained_memory_used 1109.0 	retained_max_memory_used 1109.0
time 2021-06-24 15:00:04.238736 	memory 1116.0 	max_memory_used 1116.0 	retained_memory_used 1113.0 	retained_max_memory_used 1113.0
time 2021-06-24 15:00:04.243097 	memory 1156.0 	max_memory_used 1156.0 	retained_memory_used 1153.0 	retained_max_memory_used 1153.0
time 2021-06-24 15:00:04.243696 	memory 1158.0 	max_memory_used 1158.0 	retained_memory_used 1155.0 	retained_max_memory_used 1155.0
time 2021-06-24 15:00:04.244632 	memory 1162.0 	max_memory_used 1162.0 	retained_memory_used 1159.0 	retained_max_memory_used 1159.0
time 2021-06-24 15:00:04.330585 	memory 1166.0 	max_memory_used 1166.0 	retained_memory_used 1163.0 	retained_max_memory_used 1163.0
time 2021-06-24 15:00:04.337551 	memory 1186.0 	max_memory_used 1186.0 	retained_memory_used 1183.0 	retained_max_memory_used 1183.0
time 2021-06-24 15:00:04.338894 	memory 1188.0 	max_memory_used 1188.0 	retained_memory_used 1185.0 	retained_max_memory_used 1185.0
time 2021-06-24 15:00:04.340328 	memory 1190.0 	max_memory_used 1190.0 	retained_memory_used 1187.0 	retained_max_memory_used 1187.0
time 2021-06-24 15:00:04.340730 	memory 1192.0 	max_memory_used 1192.0 	retained_memory_used 1189.0 	retained_max_memory_used 1189.0
time 2021-06-24 15:00:04.341138 	memory 1194.0 	max_memory_used 1194.0 	retained_memory_used 1191.0 	retained_max_memory_used 1191.0
time 2021-06-24 15:00:04.361677 	memory 1212.0 	max_memory_used 1212.0 	retained_memory_used 1209.0 	retained_max_memory_used 1209.0
time 2021-06-24 15:00:04.368827 	memory 1214.0 	max_memory_used 1214.0 	retained_memory_used 1211.0 	retained_max_memory_used 1211.0
time 2021-06-24 15:00:04.370328 	memory 1216.0 	max_memory_used 1216.0 	retained_memory_used 1213.0 	retained_max_memory_used 1213.0
time 2021-06-24 15:00:04.370671 	memory 1218.0 	max_memory_used 1218.0 	retained_memory_used 1215.0 	retained_max_memory_used 1215.0
time 2021-06-24 15:00:04.371029 	memory 1220.0 	max_memory_used 1220.0 	retained_memory_used 1217.0 	retained_max_memory_used 1217.0
