time 2021-06-24 17:33:09.205540 	memory 1724.0 	max_memory_used 1724.0 	retained_memory_used 1721.0 	retained_max_memory_used 1721.0
time 2021-06-24 17:33:09.205971 	memory 1730.0 	max_memory_used 1730.0 	retained_memory_used 1727.0 	retained_max_memory_used 1727.0
time 2021-06-24 17:33:10.208107 	memory 1824.0 	max_memory_used 1824.0 	retained_memory_used 1821.0 	retained_max_memory_used 1821.0
time 2021-06-24 17:33:10.208927 	memory 1922.0 	max_memory_used 1922.0 	retained_memory_used 1919.0 	retained_max_memory_used 1919.0
time 2021-06-24 17:33:10.209551 	memory 1926.0 	max_memory_used 1926.0 	retained_memory_used 1923.0 	retained_max_memory_used 1923.0
time 2021-06-24 17:33:10.209973 	memory 2024.0 	max_memory_used 2024.0 	retained_memory_used 2021.0 	retained_max_memory_used 2021.0
time 2021-06-24 17:33:10.212119 	memory 2122.0 	max_memory_used 2122.0 	retained_memory_used 2119.0 	retained_max_memory_used 2119.0
time 2021-06-24 17:33:10.212447 	memory 2138.0 	max_memory_used 2138.0 	retained_memory_used 2135.0 	retained_max_memory_used 2135.0
time 2021-06-24 17:33:10.213236 	memory 2164.0 	max_memory_used 2164.0 	retained_memory_used 2161.0 	retained_max_memory_used 2161.0
time 2021-06-24 17:33:10.214212 	memory 2214.0 	max_memory_used 2214.0 	retained_memory_used 2211.0 	retained_max_memory_used 2211.0
time 2021-06-24 17:33:10.214532 	memory 2230.0 	max_memory_used 2230.0 	retained_memory_used 2227.0 	retained_max_memory_used 2227.0
time 2021-06-24 17:33:10.216240 	memory 2246.0 	max_memory_used 2246.0 	retained_memory_used 2243.0 	retained_max_memory_used 2243.0
time 2021-06-24 17:33:10.216612 	memory 2296.0 	max_memory_used 2296.0 	retained_memory_used 2293.0 	retained_max_memory_used 2293.0
time 2021-06-24 17:33:10.217256 	memory 2346.0 	max_memory_used 2346.0 	retained_memory_used 2343.0 	retained_max_memory_used 2343.0
time 2021-06-24 17:33:10.218059 	memory 2348.0 	max_memory_used 2348.0 	retained_memory_used 2345.0 	retained_max_memory_used 2345.0
time 2021-06-24 17:33:10.218799 	memory 2740.0 	max_memory_used 2740.0 	retained_memory_used 2737.0 	retained_max_memory_used 2737.0
time 2021-06-24 17:33:10.253857 	memory 2788.0 	max_memory_used 2788.0 	retained_memory_used 2785.0 	retained_max_memory_used 2785.0
time 2021-06-24 17:33:10.254962 	memory 2802.0 	max_memory_used 2802.0 	retained_memory_used 2799.0 	retained_max_memory_used 2799.0
time 2021-06-24 17:33:10.255871 	memory 2828.0 	max_memory_used 2828.0 	retained_memory_used 2825.0 	retained_max_memory_used 2825.0
time 2021-06-24 17:33:10.256540 	memory 2832.0 	max_memory_used 2832.0 	retained_memory_used 2829.0 	retained_max_memory_used 2829.0
time 2021-06-24 17:33:10.258594 	memory 2854.0 	max_memory_used 2854.0 	retained_memory_used 2851.0 	retained_max_memory_used 2851.0
time 2021-06-24 17:33:10.259434 	memory 2880.0 	max_memory_used 2880.0 	retained_memory_used 2877.0 	retained_max_memory_used 2877.0
time 2021-06-24 17:33:10.260064 	memory 2888.0 	max_memory_used 2888.0 	retained_memory_used 2885.0 	retained_max_memory_used 2885.0
time 2021-06-24 17:33:10.262746 	memory 2906.0 	max_memory_used 2906.0 	retained_memory_used 2903.0 	retained_max_memory_used 2903.0
time 2021-06-24 17:33:10.263599 	memory 2932.0 	max_memory_used 2932.0 	retained_memory_used 2929.0 	retained_max_memory_used 2929.0
time 2021-06-24 17:33:10.264220 	memory 2940.0 	max_memory_used 2940.0 	retained_memory_used 2937.0 	retained_max_memory_used 2937.0
time 2021-06-24 17:33:10.266782 	memory 2958.0 	max_memory_used 2958.0 	retained_memory_used 2955.0 	retained_max_memory_used 2955.0
time 2021-06-24 17:33:10.267236 	memory 2966.0 	max_memory_used 2966.0 	retained_memory_used 2963.0 	retained_max_memory_used 2963.0
time 2021-06-24 17:33:10.267661 	memory 2980.0 	max_memory_used 2980.0 	retained_memory_used 2977.0 	retained_max_memory_used 2977.0
time 2021-06-24 17:33:10.268006 	memory 2994.0 	max_memory_used 2994.0 	retained_memory_used 2991.0 	retained_max_memory_used 2991.0
time 2021-06-24 17:33:10.269925 	memory 3008.0 	max_memory_used 3008.0 	retained_memory_used 3005.0 	retained_max_memory_used 3005.0
time 2021-06-24 17:33:10.270278 	memory 3034.0 	max_memory_used 3034.0 	retained_memory_used 3031.0 	retained_max_memory_used 3031.0
time 2021-06-24 17:33:10.273168 	memory 3036.0 	max_memory_used 3036.0 	retained_memory_used 3033.0 	retained_max_memory_used 3033.0
time 2021-06-24 17:33:10.273525 	memory 3062.0 	max_memory_used 3062.0 	retained_memory_used 3059.0 	retained_max_memory_used 3059.0
time 2021-06-24 17:33:10.277614 	memory 3084.0 	max_memory_used 3084.0 	retained_memory_used 3081.0 	retained_max_memory_used 3081.0
time 2021-06-24 17:33:10.280897 	memory 3092.0 	max_memory_used 3092.0 	retained_memory_used 3089.0 	retained_max_memory_used 3089.0
time 2021-06-24 17:33:10.284139 	memory 3100.0 	max_memory_used 3100.0 	retained_memory_used 3097.0 	retained_max_memory_used 3097.0
time 2021-06-24 17:33:10.299376 	memory 3344.0 	max_memory_used 3344.0 	retained_memory_used 3341.0 	retained_max_memory_used 3341.0
