time 2021-06-24 03:04:08.526978 	memory 1742.0 	max_memory_used 1742.0 	retained_memory_used 1739.0 	retained_max_memory_used 1739.0
time 2021-06-24 03:04:09.534801 	memory 1748.0 	max_memory_used 1748.0 	retained_memory_used 1745.0 	retained_max_memory_used 1745.0
time 2021-06-24 03:04:09.535506 	memory 1774.0 	max_memory_used 1774.0 	retained_memory_used 1771.0 	retained_max_memory_used 1771.0
time 2021-06-24 03:04:09.536072 	memory 1776.0 	max_memory_used 1776.0 	retained_memory_used 1773.0 	retained_max_memory_used 1773.0
time 2021-06-24 03:04:09.536589 	memory 1802.0 	max_memory_used 1802.0 	retained_memory_used 1799.0 	retained_max_memory_used 1799.0
time 2021-06-24 03:04:09.537614 	memory 1806.0 	max_memory_used 1806.0 	retained_memory_used 1803.0 	retained_max_memory_used 1803.0
time 2021-06-24 03:04:09.538264 	memory 1810.0 	max_memory_used 1810.0 	retained_memory_used 1807.0 	retained_max_memory_used 1807.0
time 2021-06-24 03:04:09.538909 	memory 1816.0 	max_memory_used 1816.0 	retained_memory_used 1813.0 	retained_max_memory_used 1813.0
time 2021-06-24 03:04:09.539721 	memory 1826.0 	max_memory_used 1826.0 	retained_memory_used 1823.0 	retained_max_memory_used 1823.0
time 2021-06-24 03:04:09.540951 	memory 1836.0 	max_memory_used 1836.0 	retained_memory_used 1833.0 	retained_max_memory_used 1833.0
time 2021-06-24 03:04:09.542176 	memory 1846.0 	max_memory_used 1846.0 	retained_memory_used 1843.0 	retained_max_memory_used 1843.0
time 2021-06-24 03:04:09.543394 	memory 1856.0 	max_memory_used 1856.0 	retained_memory_used 1853.0 	retained_max_memory_used 1853.0
time 2021-06-24 03:04:09.544615 	memory 1866.0 	max_memory_used 1866.0 	retained_memory_used 1863.0 	retained_max_memory_used 1863.0
time 2021-06-24 03:04:09.549349 	memory 1874.0 	max_memory_used 1874.0 	retained_memory_used 1871.0 	retained_max_memory_used 1871.0
time 2021-06-24 03:04:09.549942 	memory 1888.0 	max_memory_used 1888.0 	retained_memory_used 1885.0 	retained_max_memory_used 1885.0
time 2021-06-24 03:04:09.550425 	memory 1890.0 	max_memory_used 1890.0 	retained_memory_used 1887.0 	retained_max_memory_used 1887.0
time 2021-06-24 03:04:09.551631 	memory 1902.0 	max_memory_used 1902.0 	retained_memory_used 1899.0 	retained_max_memory_used 1899.0
time 2021-06-24 03:04:09.558927 	memory 1904.0 	max_memory_used 1904.0 	retained_memory_used 1901.0 	retained_max_memory_used 1901.0
time 2021-06-24 03:04:09.559692 	memory 1908.0 	max_memory_used 1908.0 	retained_memory_used 1905.0 	retained_max_memory_used 1905.0
time 2021-06-24 03:04:09.560333 	memory 1916.0 	max_memory_used 1916.0 	retained_memory_used 1913.0 	retained_max_memory_used 1913.0
time 2021-06-24 03:04:09.560833 	memory 1920.0 	max_memory_used 1920.0 	retained_memory_used 1917.0 	retained_max_memory_used 1917.0
time 2021-06-24 03:04:09.562006 	memory 1924.0 	max_memory_used 1924.0 	retained_memory_used 1921.0 	retained_max_memory_used 1921.0
time 2021-06-24 03:04:09.562584 	memory 1932.0 	max_memory_used 1932.0 	retained_memory_used 1929.0 	retained_max_memory_used 1929.0
time 2021-06-24 03:04:09.563090 	memory 1940.0 	max_memory_used 1940.0 	retained_memory_used 1937.0 	retained_max_memory_used 1937.0
time 2021-06-24 03:04:09.579669 	memory 1944.0 	max_memory_used 1944.0 	retained_memory_used 1941.0 	retained_max_memory_used 1941.0
time 2021-06-24 03:04:09.607658 	memory 2274.0 	max_memory_used 2274.0 	retained_memory_used 2271.0 	retained_max_memory_used 2271.0
time 2021-06-24 03:04:09.609042 	memory 2290.0 	max_memory_used 2290.0 	retained_memory_used 2287.0 	retained_max_memory_used 2287.0
time 2021-06-24 03:04:09.638702 	memory 2354.0 	max_memory_used 2354.0 	retained_memory_used 2351.0 	retained_max_memory_used 2351.0
time 2021-06-24 03:04:09.700463 	memory 2372.0 	max_memory_used 2372.0 	retained_memory_used 2369.0 	retained_max_memory_used 2369.0
