time 2021-06-24 03:26:42.881392 	memory 8262.0 	max_memory_used 8262.0 	retained_memory_used 8259.0 	retained_max_memory_used 8259.0
time 2021-06-24 03:26:42.882210 	memory 8290.0 	max_memory_used 8290.0 	retained_memory_used 8287.0 	retained_max_memory_used 8287.0
time 2021-06-24 03:26:45.745349 	memory 8308.0 	max_memory_used 8308.0 	retained_memory_used 8305.0 	retained_max_memory_used 8305.0
time 2021-06-24 03:26:45.745745 	memory 8334.0 	max_memory_used 8334.0 	retained_memory_used 8331.0 	retained_max_memory_used 8331.0
time 2021-06-24 03:26:47.174720 	memory 8338.0 	max_memory_used 8338.0 	retained_memory_used 8335.0 	retained_max_memory_used 8335.0
time 2021-06-24 03:26:50.011470 	memory 8348.0 	max_memory_used 8348.0 	retained_memory_used 8345.0 	retained_max_memory_used 8345.0
time 2021-06-24 03:26:50.014209 	memory 8362.0 	max_memory_used 8362.0 	retained_memory_used 8359.0 	retained_max_memory_used 8359.0
time 2021-06-24 03:26:50.014655 	memory 8364.0 	max_memory_used 8364.0 	retained_memory_used 8361.0 	retained_max_memory_used 8361.0
time 2021-06-24 03:26:50.020572 	memory 8382.0 	max_memory_used 8382.0 	retained_memory_used 8379.0 	retained_max_memory_used 8379.0
time 2021-06-24 03:26:50.021941 	memory 8396.0 	max_memory_used 8396.0 	retained_memory_used 8393.0 	retained_max_memory_used 8393.0
time 2021-06-24 03:26:50.030719 	memory 8412.0 	max_memory_used 8412.0 	retained_memory_used 8409.0 	retained_max_memory_used 8409.0
time 2021-06-24 03:26:50.035808 	memory 8416.0 	max_memory_used 8416.0 	retained_memory_used 8413.0 	retained_max_memory_used 8413.0
time 2021-06-24 03:26:50.037894 	memory 8442.0 	max_memory_used 8442.0 	retained_memory_used 8439.0 	retained_max_memory_used 8439.0
time 2021-06-24 03:26:50.042704 	memory 8468.0 	max_memory_used 8468.0 	retained_memory_used 8465.0 	retained_max_memory_used 8465.0
time 2021-06-24 03:26:50.044162 	memory 8494.0 	max_memory_used 8494.0 	retained_memory_used 8491.0 	retained_max_memory_used 8491.0
time 2021-06-24 03:26:50.051780 	memory 8520.0 	max_memory_used 8520.0 	retained_memory_used 8517.0 	retained_max_memory_used 8517.0
time 2021-06-24 03:26:50.059098 	memory 8522.0 	max_memory_used 8522.0 	retained_memory_used 8519.0 	retained_max_memory_used 8519.0
time 2021-06-24 03:26:50.061683 	memory 8524.0 	max_memory_used 8524.0 	retained_memory_used 8521.0 	retained_max_memory_used 8521.0
time 2021-06-24 03:26:50.068936 	memory 8748.0 	max_memory_used 8748.0 	retained_memory_used 8745.0 	retained_max_memory_used 8745.0
time 2021-06-24 03:26:51.557006 	memory 8904.0 	max_memory_used 8904.0 	retained_memory_used 8901.0 	retained_max_memory_used 8901.0
time 2021-06-24 03:26:51.559558 	memory 8906.0 	max_memory_used 8906.0 	retained_memory_used 8903.0 	retained_max_memory_used 8903.0
time 2021-06-24 03:26:51.560538 	memory 8932.0 	max_memory_used 8932.0 	retained_memory_used 8929.0 	retained_max_memory_used 8929.0
time 2021-06-24 03:26:51.562835 	memory 8936.0 	max_memory_used 8936.0 	retained_memory_used 8933.0 	retained_max_memory_used 8933.0
time 2021-06-24 03:26:51.563177 	memory 8962.0 	max_memory_used 8962.0 	retained_memory_used 8959.0 	retained_max_memory_used 8959.0
time 2021-06-24 03:26:51.565396 	memory 8972.0 	max_memory_used 8972.0 	retained_memory_used 8969.0 	retained_max_memory_used 8969.0
time 2021-06-24 03:26:51.569345 	memory 8998.0 	max_memory_used 8998.0 	retained_memory_used 8995.0 	retained_max_memory_used 8995.0
time 2021-06-24 03:26:51.572835 	memory 9002.0 	max_memory_used 9002.0 	retained_memory_used 8999.0 	retained_max_memory_used 8999.0
time 2021-06-24 03:26:51.574233 	memory 9028.0 	max_memory_used 9028.0 	retained_memory_used 9025.0 	retained_max_memory_used 9025.0
time 2021-06-24 03:26:51.578104 	memory 9054.0 	max_memory_used 9054.0 	retained_memory_used 9051.0 	retained_max_memory_used 9051.0
time 2021-06-24 03:26:51.592852 	memory 9074.0 	max_memory_used 9074.0 	retained_memory_used 9071.0 	retained_max_memory_used 9071.0
time 2021-06-24 03:26:59.152801 	memory 9078.0 	max_memory_used 9078.0 	retained_memory_used 9075.0 	retained_max_memory_used 9075.0
time 2021-06-24 03:26:59.153335 	memory 9080.0 	max_memory_used 9080.0 	retained_memory_used 9077.0 	retained_max_memory_used 9077.0
time 2021-06-24 03:26:59.153882 	memory 9106.0 	max_memory_used 9106.0 	retained_memory_used 9103.0 	retained_max_memory_used 9103.0
time 2021-06-24 03:26:59.154109 	memory 9114.0 	max_memory_used 9114.0 	retained_memory_used 9111.0 	retained_max_memory_used 9111.0
