time 2021-05-27 15:53:08.188050 	memory 7562.875 	max_memory_used 7562.875 	retained_memory_used 7559.0 	retained_max_memory_used 7559.0
time 2021-05-27 15:53:08.188515 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.188592 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.188678 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.188765 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.188851 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.188937 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189022 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189106 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189192 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189277 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189363 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189447 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189531 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189617 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189794 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189862 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.189945 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.190108 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.190206 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.190403 	memory 7564.875 	max_memory_used 7564.875 	retained_memory_used 7561.0 	retained_max_memory_used 7561.0
time 2021-05-27 15:53:08.190627 	memory 7538.875 	max_memory_used 7564.875 	retained_memory_used 7535.0 	retained_max_memory_used 7561.0
