time 2021-06-24 02:55:15.531494 	memory 1584.0 	max_memory_used 1584.0 	retained_memory_used 1581.0 	retained_max_memory_used 1581.0
time 2021-06-24 02:55:15.531856 	memory 1594.0 	max_memory_used 1594.0 	retained_memory_used 1591.0 	retained_max_memory_used 1591.0
time 2021-06-24 02:55:16.557100 	memory 1790.0 	max_memory_used 1790.0 	retained_memory_used 1787.0 	retained_max_memory_used 1787.0
time 2021-06-24 02:55:16.558283 	memory 1986.0 	max_memory_used 1986.0 	retained_memory_used 1983.0 	retained_max_memory_used 1983.0
time 2021-06-24 02:55:16.558724 	memory 1990.0 	max_memory_used 1990.0 	retained_memory_used 1987.0 	retained_max_memory_used 1987.0
time 2021-06-24 02:55:16.559428 	memory 2006.0 	max_memory_used 2006.0 	retained_memory_used 2003.0 	retained_max_memory_used 2003.0
time 2021-06-24 02:55:16.564896 	memory 2070.0 	max_memory_used 2070.0 	retained_memory_used 2067.0 	retained_max_memory_used 2067.0
time 2021-06-24 02:55:16.593768 	memory 2266.0 	max_memory_used 2266.0 	retained_memory_used 2263.0 	retained_max_memory_used 2263.0
time 2021-06-24 02:55:16.595326 	memory 2316.0 	max_memory_used 2316.0 	retained_memory_used 2313.0 	retained_max_memory_used 2313.0
time 2021-06-24 02:55:16.597194 	memory 2414.0 	max_memory_used 2414.0 	retained_memory_used 2411.0 	retained_max_memory_used 2411.0
time 2021-06-24 02:55:16.599974 	memory 2512.0 	max_memory_used 2512.0 	retained_memory_used 2509.0 	retained_max_memory_used 2509.0
time 2021-06-24 02:55:16.600852 	memory 2610.0 	max_memory_used 2610.0 	retained_memory_used 2607.0 	retained_max_memory_used 2607.0
time 2021-06-24 02:55:16.601206 	memory 2612.0 	max_memory_used 2612.0 	retained_memory_used 2609.0 	retained_max_memory_used 2609.0
time 2021-06-24 02:55:16.604682 	memory 2708.0 	max_memory_used 2708.0 	retained_memory_used 2705.0 	retained_max_memory_used 2705.0
time 2021-06-24 02:55:16.605545 	memory 2734.0 	max_memory_used 2734.0 	retained_memory_used 2731.0 	retained_max_memory_used 2731.0
time 2021-06-24 02:55:16.606542 	memory 2784.0 	max_memory_used 2784.0 	retained_memory_used 2781.0 	retained_max_memory_used 2781.0
time 2021-06-24 02:55:16.607229 	memory 2788.0 	max_memory_used 2788.0 	retained_memory_used 2785.0 	retained_max_memory_used 2785.0
