time 2021-04-28 16:43:49.656427 	memory 312.75
time 2021-04-28 16:43:50.671441 	memory 448.75
time 2021-04-28 16:43:51.755441 	memory 636.75
time 2021-04-28 16:43:52.827542 	memory 516.75
time 2021-04-28 16:43:53.911440 	memory 448.75
time 2021-04-28 16:43:54.912728 	memory 608.75
time 2021-04-28 16:43:56.067475 	memory 540.75
time 2021-04-28 16:43:57.167528 	memory 592.75
time 2021-04-28 16:43:58.239440 	memory 616.75
time 2021-04-28 16:43:59.339624 	memory 668.75
time 2021-04-28 16:44:00.341006 	memory 516.75
time 2021-04-28 16:44:01.342233 	memory 478.75
time 2021-04-28 16:44:02.475478 	memory 746.75
time 2021-04-28 16:44:03.512405 	memory 448.75
time 2021-04-28 16:44:04.591459 	memory 544.75
time 2021-04-28 16:44:05.611748 	memory 596.75
time 2021-04-28 16:44:06.643439 	memory 616.75
time 2021-04-28 16:44:08.026042 	memory 576.75
time 2021-04-28 16:44:09.027185 	memory 516.75
time 2021-04-28 16:44:10.119439 	memory 448.75
time 2021-04-28 16:44:11.185610 	memory 626.75
time 2021-04-28 16:44:12.255440 	memory 516.75
time 2021-04-28 16:44:13.411511 	memory 448.75
time 2021-04-28 16:44:14.467477 	memory 448.75
time 2021-04-28 16:44:15.518336 	memory 750.75
time 2021-04-28 16:44:16.639440 	memory 448.75
time 2021-04-28 16:44:17.679439 	memory 684.75
time 2021-04-28 16:44:18.857296 	memory 480.75
time 2021-04-28 16:44:19.858441 	memory 732.75
time 2021-04-28 16:44:20.959497 	memory 640.75
